preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
A closet is a type of,furniture.,closet,none,furniture,56,"[-10.304773330688477, -11.029350280761719, -11.472918510437012, -10.63855266571045, -11.453556060791016, -10.559179306030273, -9.512572288513184, -11.439813613891602, -11.222384452819824, -9.665444374084473, -11.174580574035645, -10.688660621643066, -11.689942359924316, -10.884292602539062, -10.474546432495117, -10.87414264678955, -10.791459083557129, -11.392740249633789, -10.254348754882812, -11.342963218688965, -10.937828063964844, -9.087584495544434, -11.100606918334961, -11.391141891479492, -10.563285827636719, -10.696311950683594, -11.44101619720459, -9.950138092041016, -11.002150535583496, -11.835536003112793, -10.822628021240234, -11.39441967010498, -11.317842483520508, -10.930593490600586, -10.869623184204102, -11.106571197509766, -9.648735046386719, -10.818216323852539, -11.04471206665039, -10.919727325439453, -10.506170272827148, -11.011150360107422, -10.058778762817383, -10.05147933959961, -10.635621070861816, -10.989410400390625, -11.320427894592285, -8.520214080810547, -11.485858917236328, -11.511958122253418]",7241732096,mistralai_Mistral-7B-v0.1
A vase is a type of,furniture.,vase,none,furniture,57,"[-10.421089172363281, -9.477747917175293, -11.78998851776123, -11.801380157470703, -12.587074279785156, -11.867816925048828, -11.036361694335938, -12.029696464538574, -9.667684555053711, -11.784830093383789, -11.865041732788086, -11.120333671569824, -10.965758323669434, -11.919624328613281, -11.213306427001953, -11.331629753112793, -9.666143417358398, -12.109712600708008, -11.254860877990723, -11.285146713256836, -11.747016906738281, -12.196168899536133, -11.405125617980957, -11.951192855834961, -10.46360969543457, -11.636686325073242, -12.227178573608398, -11.630709648132324, -11.489147186279297, -11.365069389343262, -12.176420211791992, -11.24575424194336, -12.046403884887695, -12.021995544433594, -11.602436065673828, -8.16283893585205, -8.298397064208984, -11.602804183959961, -11.210175514221191, -11.728876113891602, -11.25737476348877, -12.036552429199219, -12.597614288330078, -10.913432121276855, -11.725797653198242, -11.57553482055664, -11.210132598876953, -11.536287307739258, -10.459665298461914, -11.827337265014648]",7241732096,mistralai_Mistral-7B-v0.1
An ashtray is a type of,furniture.,ashtray,none,furniture,58,"[-9.01345443725586, -9.649778366088867, -8.71541976928711, -8.722265243530273, -9.138106346130371, -8.869418144226074, -9.305755615234375, -8.67719841003418, -9.601940155029297, -10.465927124023438, -8.721576690673828, -8.446854591369629, -9.463022232055664, -8.541520118713379, -9.449440002441406, -10.113653182983398, -8.35165786743164, -8.575044631958008, -10.386374473571777, -9.503324508666992, -9.544410705566406, -9.251747131347656, -9.692931175231934, -9.180976867675781, -9.022428512573242, -8.792815208435059, -9.200451850891113, -9.358482360839844, -9.388099670410156, -8.36404037475586, -9.227714538574219, -9.658109664916992, -8.778614044189453, -9.53927993774414, -10.502494812011719, -8.990272521972656, -9.870412826538086, -9.353209495544434, -7.830330848693848, -10.288834571838379, -10.616409301757812, -8.910357475280762, -9.015182495117188, -9.840213775634766, -8.37506103515625, -10.361283302307129, -9.162643432617188, -9.222431182861328, -8.657176971435547, -9.410931587219238]",7241732096,mistralai_Mistral-7B-v0.1
A fan is a type of,furniture.,fan,none,furniture,59,"[-12.808930397033691, -11.908712387084961, -12.262104988098145, -11.68198299407959, -9.58639907836914, -12.315923690795898, -10.34391975402832, -11.931120872497559, -11.837685585021973, -12.299872398376465, -12.740156173706055, -12.359647750854492, -12.664936065673828, -12.384461402893066, -13.208451271057129, -11.686182022094727, -12.472047805786133, -13.173612594604492, -12.82901382446289, -12.607351303100586, -10.693543434143066, -12.490140914916992, -12.755781173706055, -12.62354850769043, -12.383638381958008, -11.610081672668457, -12.392908096313477, -12.827278137207031, -12.845206260681152, -11.997352600097656, -12.211591720581055, -12.111449241638184, -12.295133590698242, -12.544783592224121, -12.977770805358887, -11.190128326416016, -12.491605758666992, -10.115190505981445, -12.072091102600098, -12.468202590942383, -12.404836654663086, -12.01434326171875, -12.266681671142578, -12.75531005859375, -9.976083755493164, -9.549705505371094, -11.952260971069336, -11.767383575439453, -12.302109718322754, -12.65133285522461]",7241732096,mistralai_Mistral-7B-v0.1
A telephone is a type of,furniture.,telephone,none,furniture,60,"[-11.715028762817383, -12.028976440429688, -12.143524169921875, -12.625824928283691, -11.829124450683594, -11.268806457519531, -11.083023071289062, -9.312414169311523, -12.09097671508789, -12.703239440917969, -11.414941787719727, -11.892284393310547, -12.142682075500488, -11.396160125732422, -11.862591743469238, -11.890585899353027, -12.897804260253906, -12.599565505981445, -12.508094787597656, -12.067873001098633, -11.7168550491333, -12.391162872314453, -12.604583740234375, -11.34339714050293, -11.738332748413086, -12.52143669128418, -11.657299041748047, -12.289881706237793, -11.956809043884277, -9.38191032409668, -12.162186622619629, -12.056112289428711, -11.856780052185059, -9.296518325805664, -11.72377872467041, -12.495508193969727, -11.837615966796875, -12.230354309082031, -12.856498718261719, -11.666475296020508, -12.34648609161377, -11.791667938232422, -11.462151527404785, -12.204057693481445, -12.35517406463623, -11.097845077514648, -11.361928939819336, -11.814058303833008, -11.998149871826172, -11.707954406738281]",7241732096,mistralai_Mistral-7B-v0.1
A gun is a,weapon.,gun,none,weapon,1,"[-10.347527503967285, -9.136778831481934, -10.271050453186035, -9.610023498535156, -9.379678726196289, -8.216218948364258, -7.294063568115234, -10.167091369628906, -10.108988761901855, -8.219758987426758, -9.862955093383789, -8.688959121704102, -7.882763385772705, -8.347185134887695, -9.895040512084961, -8.394277572631836, -9.813247680664062, -8.630376815795898, -9.657742500305176, -8.465158462524414, -10.590608596801758, -9.376412391662598, -8.34273910522461, -10.050039291381836, -9.188095092773438, -9.423503875732422, -8.486522674560547, -10.918038368225098, -9.15100383758545, -9.773591995239258, -9.55536937713623, -10.73476505279541, -9.11435317993164, -6.751927375793457, -8.858878135681152, -8.4078950881958, -9.732125282287598, -9.786043167114258, -8.467823028564453, -9.19979190826416, -5.845935344696045, -9.865235328674316, -10.070438385009766, -8.358803749084473, -9.998533248901367, -8.10020637512207, -10.059724807739258, -9.192935943603516, -10.37727165222168, -10.483339309692383]",7241732096,mistralai_Mistral-7B-v0.1
A pistol is a,weapon.,pistol,none,weapon,2,"[-10.975349426269531, -10.150810241699219, -7.259795188903809, -8.092174530029297, -7.459207057952881, -8.528631210327148, -7.518337726593018, -7.03814172744751, -8.731494903564453, -9.773958206176758, -8.054750442504883, -10.578937530517578, -10.112056732177734, -9.213558197021484, -9.087343215942383, -8.650735855102539, -7.7759013175964355, -8.470365524291992, -7.363838195800781, -8.841442108154297, -9.264120101928711, -9.429004669189453, -10.372556686401367, -8.464876174926758, -8.675943374633789, -7.452922821044922, -9.33444595336914, -9.365888595581055, -8.826126098632812, -7.45562219619751, -9.555192947387695, -8.834933280944824, -8.445955276489258, -8.231613159179688, -9.813032150268555, -8.236763000488281, -6.600375175476074, -10.20302963256836, -7.74562406539917, -9.101908683776855, -8.72198486328125, -8.860713958740234, -9.525348663330078, -10.33210563659668, -8.3546781539917, -7.715534687042236, -8.564714431762695, -11.413204193115234, -6.827000141143799, -8.795496940612793]",7241732096,mistralai_Mistral-7B-v0.1
A revolver is a,weapon.,revolver,none,weapon,3,"[-10.781615257263184, -11.321702003479004, -10.866689682006836, -9.83110237121582, -11.043769836425781, -10.87069320678711, -9.940937042236328, -11.368779182434082, -10.934916496276855, -10.136951446533203, -10.948575973510742, -9.145305633544922, -11.158578872680664, -11.086015701293945, -10.977596282958984, -11.215002059936523, -11.098943710327148, -10.507868766784668, -11.105432510375977, -10.612914085388184, -10.41575813293457, -10.839502334594727, -10.936748504638672, -11.23210620880127, -10.292976379394531, -10.958013534545898, -9.540165901184082, -9.861908912658691, -11.197962760925293, -10.523422241210938, -10.921653747558594, -10.972652435302734, -10.73631477355957, -11.353523254394531, -10.857706069946289, -10.839571952819824, -10.958168029785156, -10.899768829345703, -10.70959186553955, -10.988458633422852, -10.330425262451172, -11.185400009155273, -9.923181533813477, -10.903230667114258, -11.092540740966797, -11.13935661315918, -10.346565246582031, -10.905721664428711, -10.138879776000977, -10.617206573486328]",7241732096,mistralai_Mistral-7B-v0.1
A machine gun is a,weapon.,machine gun,none,weapon,4,"[-10.37217903137207, -7.830943584442139, -10.498196601867676, -11.14694595336914, -10.70455551147461, -8.984792709350586, -10.73909854888916, -10.717714309692383, -10.477394104003906, -10.807653427124023, -10.82417106628418, -10.525571823120117, -10.110329627990723, -11.164101600646973, -10.976665496826172, -10.561841011047363, -11.104951858520508, -10.591808319091797, -10.49917984008789, -10.936622619628906, -10.82491683959961, -10.909884452819824, -10.089882850646973, -10.507940292358398, -11.667359352111816, -11.056864738464355, -10.568138122558594, -10.934027671813965, -10.404241561889648, -9.867744445800781, -11.06301498413086, -10.535993576049805, -10.978693008422852, -10.841924667358398, -10.964698791503906, -10.58504867553711, -10.854345321655273, -11.025543212890625, -10.55167007446289, -10.218710899353027, -10.132761001586914, -11.2086820602417, -10.583639144897461, -10.840834617614746, -10.287267684936523, -11.411739349365234, -9.420062065124512, -10.819164276123047, -10.860384941101074, -10.934511184692383]",7241732096,mistralai_Mistral-7B-v0.1
A rifle is a,weapon.,rifle,none,weapon,5,"[-8.690555572509766, -8.035303115844727, -9.329340934753418, -8.22772216796875, -10.511075973510742, -7.92738676071167, -7.373795509338379, -6.506241321563721, -8.284839630126953, -8.390186309814453, -10.674198150634766, -8.840559005737305, -8.92117691040039, -10.137591361999512, -8.892365455627441, -10.601680755615234, -9.330421447753906, -11.058780670166016, -10.706872940063477, -9.332281112670898, -7.368298053741455, -8.934063911437988, -6.142169952392578, -7.881093502044678, -9.705503463745117, -8.140457153320312, -8.700632095336914, -9.707658767700195, -11.339766502380371, -10.499597549438477, -9.442625045776367, -9.197012901306152, -9.924314498901367, -9.173273086547852, -9.11301040649414, -7.940845489501953, -11.825580596923828, -9.81959056854248, -10.11363697052002, -8.45798110961914, -8.219505310058594, -8.942671775817871, -8.054971694946289, -8.301755905151367, -6.611490726470947, -9.314955711364746, -7.221741199493408, -8.015406608581543, -8.340754508972168, -9.393750190734863]",7241732096,mistralai_Mistral-7B-v0.1
A switchblade is a,weapon.,switchblade,none,weapon,6,"[-15.19221019744873, -12.80099105834961, -9.712334632873535, -9.070079803466797, -12.726134300231934, -14.696861267089844, -12.79550552368164, -12.503583908081055, -12.053022384643555, -14.452472686767578, -13.464813232421875, -12.753960609436035, -12.940555572509766, -9.502609252929688, -11.233439445495605, -9.469782829284668, -14.404260635375977, -12.795694351196289, -13.110421180725098, -13.638971328735352, -13.655611038208008, -13.961345672607422, -14.64853286743164, -11.857309341430664, -14.476205825805664, -14.401538848876953, -14.124883651733398, -14.681159019470215, -13.316919326782227, -14.111289978027344, -12.698835372924805, -13.346521377563477, -12.687894821166992, -14.236214637756348, -13.988288879394531, -14.484779357910156, -13.482501983642578, -14.221820831298828, -6.720602512359619, -12.822957992553711, -12.538106918334961, -13.669685363769531, -13.739707946777344, -13.547890663146973, -9.321582794189453, -14.563846588134766, -13.257940292358398, -14.984530448913574, -13.344793319702148, -13.088279724121094]",7241732096,mistralai_Mistral-7B-v0.1
A knife is a,weapon.,knife,none,weapon,7,"[-8.43575668334961, -10.669692993164062, -8.359062194824219, -10.160371780395508, -10.726385116577148, -9.938753128051758, -10.5423583984375, -8.643414497375488, -11.116754531860352, -9.645706176757812, -10.32132339477539, -7.611613750457764, -9.244385719299316, -10.576385498046875, -7.479398250579834, -8.783853530883789, -9.7095365524292, -9.465210914611816, -10.523279190063477, -11.89215087890625, -8.818955421447754, -8.345586776733398, -10.973711967468262, -7.305210113525391, -12.15504264831543, -9.79330825805664, -11.763086318969727, -8.310269355773926, -7.333304405212402, -8.922536849975586, -9.295621871948242, -9.759248733520508, -10.255626678466797, -7.3627119064331055, -9.869550704956055, -9.73194694519043, -9.930765151977539, -11.986089706420898, -11.739590644836426, -10.844017028808594, -9.676811218261719, -9.318671226501465, -9.124521255493164, -8.973847389221191, -7.888054847717285, -9.725945472717285, -9.384376525878906, -9.407201766967773, -8.452920913696289, -9.64036750793457]",7241732096,mistralai_Mistral-7B-v0.1
A dagger is a,weapon.,dagger,none,weapon,8,"[-11.056857109069824, -9.763744354248047, -11.492597579956055, -11.120901107788086, -9.880102157592773, -11.46555233001709, -10.450191497802734, -10.241135597229004, -10.249207496643066, -11.054003715515137, -10.612695693969727, -10.749689102172852, -10.900148391723633, -10.481698036193848, -9.924723625183105, -11.072714805603027, -10.780396461486816, -10.668050765991211, -10.736783981323242, -10.705230712890625, -11.133180618286133, -11.297834396362305, -10.832002639770508, -11.021759986877441, -10.71300983428955, -9.742133140563965, -10.699207305908203, -10.858039855957031, -10.392997741699219, -10.843600273132324, -10.955760955810547, -11.172982215881348, -9.880170822143555, -10.101003646850586, -10.945770263671875, -10.818775177001953, -11.068726539611816, -10.824214935302734, -10.595985412597656, -11.416915893554688, -9.014374732971191, -11.010899543762207, -10.501480102539062, -10.25560474395752, -10.256183624267578, -10.530951499938965, -10.91874885559082, -11.027290344238281, -10.884955406188965, -10.679482460021973]",7241732096,mistralai_Mistral-7B-v0.1
A shotgun is a,weapon.,shotgun,none,weapon,9,"[-11.033905029296875, -10.424018859863281, -10.626668930053711, -11.115782737731934, -10.772611618041992, -10.99747371673584, -10.299025535583496, -11.407793045043945, -10.315309524536133, -11.146818161010742, -10.290605545043945, -10.987421989440918, -10.908536911010742, -11.117115020751953, -10.821175575256348, -9.883796691894531, -10.274598121643066, -10.690923690795898, -10.736693382263184, -10.95852279663086, -10.782135009765625, -10.694425582885742, -11.096641540527344, -9.897636413574219, -10.63111686706543, -10.762556076049805, -10.979391098022461, -11.117950439453125, -10.405769348144531, -10.107414245605469, -11.101016998291016, -10.375950813293457, -11.11851692199707, -10.772327423095703, -11.018071174621582, -10.827584266662598, -11.029247283935547, -11.365226745605469, -10.716163635253906, -10.764717102050781, -10.685081481933594, -8.15914535522461, -10.559236526489258, -9.997766494750977, -11.14360237121582, -10.284992218017578, -11.091854095458984, -9.643453598022461, -11.468456268310547, -10.758798599243164]",7241732096,mistralai_Mistral-7B-v0.1
A sword is a,weapon.,sword,none,weapon,10,"[-8.621702194213867, -9.683544158935547, -9.53903865814209, -11.108238220214844, -8.8016996383667, -9.069852828979492, -9.302218437194824, -9.906388282775879, -8.507593154907227, -8.884005546569824, -8.853281021118164, -9.297496795654297, -7.134016513824463, -8.239215850830078, -10.104931831359863, -8.82027530670166, -11.402756690979004, -8.437807083129883, -9.986980438232422, -9.807112693786621, -8.736520767211914, -8.775606155395508, -11.813054084777832, -9.654119491577148, -9.788787841796875, -10.223546028137207, -10.925203323364258, -12.161245346069336, -8.570414543151855, -9.124909400939941, -9.122760772705078, -10.407946586608887, -11.034398078918457, -10.327292442321777, -10.35727596282959, -8.385658264160156, -6.166329383850098, -8.545266151428223, -9.351685523986816, -8.032180786132812, -8.70531177520752, -10.902131080627441, -7.965473175048828, -9.410619735717773, -10.562195777893066, -12.491580963134766, -10.19558334350586, -8.681735038757324, -8.040023803710938, -9.039045333862305]",7241732096,mistralai_Mistral-7B-v0.1
A bomb is a,weapon.,bomb,none,weapon,11,"[-8.669612884521484, -6.667565822601318, -6.736258029937744, -9.152935028076172, -8.556562423706055, -10.40618896484375, -7.086292266845703, -9.833797454833984, -10.067590713500977, -9.29232120513916, -9.200274467468262, -8.817201614379883, -9.334200859069824, -11.624530792236328, -7.899181365966797, -11.238675117492676, -11.497937202453613, -8.427215576171875, -10.285765647888184, -6.204977512359619, -9.673393249511719, -9.705877304077148, -11.017011642456055, -10.391510963439941, -9.179933547973633, -12.366935729980469, -10.001527786254883, -11.029841423034668, -9.41418743133545, -8.050582885742188, -9.21908187866211, -9.378000259399414, -8.25857925415039, -10.812746047973633, -10.995439529418945, -9.269665718078613, -8.724302291870117, -8.602352142333984, -11.385497093200684, -8.96359634399414, -11.070606231689453, -10.90151596069336, -10.56237506866455, -8.619953155517578, -6.962446689605713, -11.763275146484375, -11.459827423095703, -9.52798080444336, -8.160486221313477, -8.959980010986328]",7241732096,mistralai_Mistral-7B-v0.1
A hand grenade is a,weapon.,hand grenade,none,weapon,12,"[-13.253471374511719, -12.712540626525879, -12.041481018066406, -11.56872844696045, -10.667497634887695, -10.755824089050293, -11.602739334106445, -10.889549255371094, -11.816485404968262, -13.525331497192383, -11.680294036865234, -12.263151168823242, -10.360883712768555, -11.471107482910156, -11.090457916259766, -11.24403190612793, -11.73093032836914, -10.887422561645508, -11.511886596679688, -10.868597984313965, -10.942148208618164, -12.081422805786133, -11.01272964477539, -9.267354011535645, -11.152037620544434, -11.039139747619629, -12.051860809326172, -6.914991855621338, -11.779929161071777, -12.93667984008789, -11.81317138671875, -11.546302795410156, -11.23986530303955, -12.665877342224121, -11.544955253601074, -12.099605560302734, -11.531499862670898, -10.528806686401367, -10.427254676818848, -12.61808967590332, -10.242879867553711, -12.461450576782227, -11.962209701538086, -11.52353286743164, -10.520196914672852, -9.216510772705078, -10.54047679901123, -11.022714614868164, -9.456629753112793, -11.351141929626465]",7241732096,mistralai_Mistral-7B-v0.1
An atom bomb is a,weapon.,Atom bomb,none,weapon,13,"[-13.238439559936523, -12.129682540893555, -13.24256706237793, -13.443883895874023, -13.176944732666016, -12.947454452514648, -12.995285034179688, -12.770734786987305, -13.535789489746094, -12.88278865814209, -13.333942413330078, -13.943720817565918, -13.289051055908203, -13.231653213500977, -12.92322826385498, -13.250765800476074, -10.511398315429688, -13.20909309387207, -13.665912628173828, -13.75277328491211, -13.31114387512207, -13.57644271850586, -12.889694213867188, -13.311260223388672, -12.067954063415527, -13.800389289855957, -12.757932662963867, -13.680008888244629, -12.929601669311523, -13.730941772460938, -10.458642959594727, -13.492721557617188, -11.498607635498047, -13.767631530761719, -13.862990379333496, -12.877321243286133, -12.878641128540039, -10.012411117553711, -13.173140525817871, -13.187674522399902, -12.821399688720703, -13.555477142333984, -12.84222412109375, -13.511453628540039, -13.391416549682617, -12.332773208618164, -13.308958053588867, -12.869712829589844, -13.326155662536621, -14.131816864013672]",7241732096,mistralai_Mistral-7B-v0.1
A bayonet is a,weapon.,bayonet,none,weapon,14,"[-10.445980072021484, -11.212686538696289, -7.873208045959473, -11.759822845458984, -11.038702011108398, -12.264429092407227, -12.004526138305664, -11.650081634521484, -12.128015518188477, -12.118374824523926, -12.052877426147461, -10.587942123413086, -11.488603591918945, -11.268415451049805, -12.594329833984375, -10.9419584274292, -11.463621139526367, -13.532426834106445, -11.349595069885254, -11.51032543182373, -11.084857940673828, -10.810132026672363, -11.777886390686035, -11.996673583984375, -11.218347549438477, -11.483816146850586, -11.62159538269043, -12.111235618591309, -12.052530288696289, -11.188467025756836, -10.623893737792969, -12.701374053955078, -10.738048553466797, -11.609916687011719, -12.07745361328125, -12.191361427307129, -11.298088073730469, -11.37346363067627, -10.951055526733398, -11.549217224121094, -10.865188598632812, -12.144135475158691, -10.973325729370117, -11.480626106262207, -10.458810806274414, -12.30076789855957, -11.827192306518555, -11.385046005249023, -11.71030044555664, -11.649650573730469]",7241732096,mistralai_Mistral-7B-v0.1
A spear is a,weapon.,spear,none,weapon,15,"[-11.003507614135742, -10.828756332397461, -10.908748626708984, -10.872532844543457, -11.131664276123047, -10.800683975219727, -11.249710083007812, -10.608966827392578, -10.767699241638184, -10.913787841796875, -10.674468040466309, -10.946496963500977, -11.078621864318848, -10.904050827026367, -10.448261260986328, -10.997709274291992, -10.703630447387695, -10.77694320678711, -10.620845794677734, -10.752340316772461, -10.596288681030273, -10.866336822509766, -10.142534255981445, -10.508212089538574, -10.83382797241211, -10.955461502075195, -9.483291625976562, -10.807720184326172, -10.32461166381836, -10.722234725952148, -11.131599426269531, -10.873241424560547, -10.677148818969727, -11.215193748474121, -10.943774223327637, -10.75465202331543, -9.727012634277344, -10.890670776367188, -10.40903091430664, -10.978849411010742, -10.991395950317383, -10.66355037689209, -10.725027084350586, -10.349706649780273, -11.096761703491211, -11.315251350402832, -11.05131721496582, -10.733104705810547, -10.917158126831055, -10.544719696044922]",7241732096,mistralai_Mistral-7B-v0.1
A bazooka is a,weapon.,bazooka,none,weapon,16,"[-9.033550262451172, -10.39915943145752, -10.902331352233887, -8.987961769104004, -8.868776321411133, -9.233747482299805, -9.672170639038086, -10.848381042480469, -9.965655326843262, -9.295278549194336, -10.07168197631836, -9.877593994140625, -9.758264541625977, -10.3538179397583, -9.782035827636719, -8.883235931396484, -9.912352561950684, -10.726335525512695, -9.679940223693848, -9.893354415893555, -9.96534252166748, -9.257516860961914, -8.80271053314209, -9.298654556274414, -8.68302059173584, -9.544889450073242, -9.779397964477539, -9.878110885620117, -9.335434913635254, -9.351774215698242, -9.743404388427734, -9.98185920715332, -8.422038078308105, -10.752274513244629, -9.769617080688477, -11.044363021850586, -10.078834533691406, -8.763019561767578, -9.611499786376953, -8.636465072631836, -9.662042617797852, -9.722489356994629, -10.177603721618652, -9.18256950378418, -9.84878158569336, -9.643895149230957, -9.355194091796875, -10.441160202026367, -10.01341438293457, -9.242691040039062]",7241732096,mistralai_Mistral-7B-v0.1
A cannon is a,weapon.,cannon,none,weapon,17,"[-10.840286254882812, -10.11031723022461, -10.890586853027344, -10.761241912841797, -11.717044830322266, -11.243635177612305, -10.719795227050781, -10.524320602416992, -9.0198392868042, -10.606160163879395, -10.762716293334961, -10.926568031311035, -11.168593406677246, -10.72590160369873, -11.41338062286377, -10.952142715454102, -10.402013778686523, -10.602731704711914, -11.188880920410156, -10.64470386505127, -10.423014640808105, -10.488283157348633, -10.282241821289062, -11.112902641296387, -11.046935081481934, -10.5645751953125, -10.829778671264648, -11.42816162109375, -10.439538955688477, -11.307225227355957, -10.214902877807617, -10.776037216186523, -10.68619155883789, -10.8468656539917, -11.247151374816895, -10.540708541870117, -10.853556632995605, -11.65750503540039, -11.05705451965332, -10.822694778442383, -10.96014404296875, -11.010005950927734, -10.927535057067871, -10.741872787475586, -11.13491153717041, -10.368684768676758, -10.200579643249512, -10.652739524841309, -11.116647720336914, -11.06411361694336]",7241732096,mistralai_Mistral-7B-v0.1
A bow and arrow is a,weapon.,bow and arrow,none,weapon,18,"[-11.300679206848145, -10.988178253173828, -10.84554672241211, -10.479259490966797, -11.08388614654541, -11.160887718200684, -10.569478988647461, -11.134428024291992, -9.315828323364258, -10.816965103149414, -10.536761283874512, -10.503762245178223, -10.960962295532227, -11.694883346557617, -11.245861053466797, -10.785606384277344, -11.623634338378906, -11.241899490356445, -10.737943649291992, -10.69427490234375, -10.371282577514648, -8.990496635437012, -10.932832717895508, -10.861602783203125, -11.392402648925781, -11.665323257446289, -9.412369728088379, -11.632176399230957, -10.582088470458984, -11.31721305847168, -10.011507987976074, -10.610584259033203, -9.133712768554688, -11.821067810058594, -10.24346923828125, -10.883543014526367, -10.724092483520508, -10.924575805664062, -11.513337135314941, -10.571798324584961, -11.482234954833984, -11.231649398803711, -11.214555740356445, -11.062273025512695, -11.269977569580078, -11.585878372192383, -11.689547538757324, -11.132711410522461, -11.733450889587402, -10.895870208740234]",7241732096,mistralai_Mistral-7B-v0.1
A club is a,weapon.,club,none,weapon,19,"[-8.778315544128418, -8.583841323852539, -10.116067886352539, -8.988990783691406, -9.383561134338379, -7.600362300872803, -10.148073196411133, -8.721267700195312, -10.836652755737305, -9.0352783203125, -8.809724807739258, -10.844779968261719, -10.815991401672363, -8.217752456665039, -8.242576599121094, -9.191068649291992, -9.033300399780273, -9.041410446166992, -10.302322387695312, -10.703433990478516, -10.055486679077148, -8.186802864074707, -10.439037322998047, -7.865423202514648, -11.359013557434082, -9.481565475463867, -9.489542007446289, -10.02448558807373, -7.887564659118652, -12.046148300170898, -8.77744197845459, -9.774698257446289, -10.527811050415039, -9.506206512451172, -7.146462917327881, -11.742431640625, -9.837766647338867, -9.8107271194458, -8.706071853637695, -10.137093544006348, -9.164592742919922, -12.062080383300781, -11.385433197021484, -7.34528923034668, -10.005054473876953, -8.65999698638916, -9.644599914550781, -8.965463638305664, -9.34367561340332, -9.700519561767578]",7241732096,mistralai_Mistral-7B-v0.1
A lance is a,weapon.,lance,none,weapon,20,"[-10.773597717285156, -11.154582977294922, -10.302652359008789, -11.350512504577637, -10.878558158874512, -10.814773559570312, -10.406353950500488, -11.28726577758789, -9.836747169494629, -10.90541934967041, -10.504634857177734, -10.734967231750488, -11.133035659790039, -10.029315948486328, -11.262776374816895, -11.389171600341797, -11.30207347869873, -11.011221885681152, -10.900821685791016, -9.771220207214355, -11.137811660766602, -11.090145111083984, -10.526580810546875, -11.453654289245605, -10.615439414978027, -11.005404472351074, -10.829233169555664, -10.972822189331055, -10.38255500793457, -10.72746467590332, -11.334733963012695, -10.91469955444336, -10.280855178833008, -10.392099380493164, -10.454254150390625, -10.947492599487305, -10.97108268737793, -11.041149139404297, -9.90713119506836, -9.845036506652832, -11.196876525878906, -9.460063934326172, -10.768000602722168, -10.682901382446289, -10.2371826171875, -10.816954612731934, -10.939722061157227, -10.959503173828125, -9.954948425292969, -11.38222885131836]",7241732096,mistralai_Mistral-7B-v0.1
A brass knuckle is a,weapon.,brass knuckle,none,weapon,21,"[-9.942731857299805, -11.346251487731934, -8.96018123626709, -10.382087707519531, -10.108194351196289, -10.406776428222656, -9.165420532226562, -9.835481643676758, -8.987449645996094, -10.563993453979492, -8.99284553527832, -11.212271690368652, -9.059364318847656, -10.220046997070312, -7.7960920333862305, -10.560871124267578, -7.548921585083008, -10.161535263061523, -10.90376091003418, -8.914472579956055, -10.788650512695312, -10.261761665344238, -9.839309692382812, -9.291704177856445, -10.343123435974121, -9.39632797241211, -10.275440216064453, -9.669559478759766, -9.976472854614258, -9.751729965209961, -11.801608085632324, -9.48809814453125, -9.314687728881836, -8.894571304321289, -9.463691711425781, -11.454259872436523, -9.718048095703125, -8.18900203704834, -11.050777435302734, -8.654476165771484, -10.091383934020996, -10.541635513305664, -8.266329765319824, -10.453340530395508, -9.987257957458496, -9.339512825012207, -10.57786750793457, -9.518632888793945, -10.414460182189941, -9.36566162109375]",7241732096,mistralai_Mistral-7B-v0.1
A bullet is a,weapon.,bullet,none,weapon,22,"[-8.442638397216797, -10.170415878295898, -9.74079418182373, -10.5300931930542, -10.988690376281738, -10.612626075744629, -8.99483585357666, -10.248191833496094, -11.422322273254395, -10.568020820617676, -10.712080001831055, -8.829536437988281, -10.879831314086914, -8.667316436767578, -10.139989852905273, -8.407861709594727, -10.601516723632812, -11.049595832824707, -10.105588912963867, -11.54318904876709, -12.179437637329102, -8.366238594055176, -10.180122375488281, -11.331748008728027, -9.69960880279541, -9.617431640625, -11.197015762329102, -9.526175498962402, -11.804875373840332, -12.555177688598633, -11.309728622436523, -10.498766899108887, -11.552682876586914, -9.279388427734375, -9.95350456237793, -11.241130828857422, -10.016275405883789, -11.193851470947266, -10.404245376586914, -9.717193603515625, -11.404983520507812, -9.770586967468262, -9.901664733886719, -10.42436695098877, -8.410900115966797, -10.454612731933594, -7.98695182800293, -10.399256706237793, -10.541996955871582, -11.522717475891113]",7241732096,mistralai_Mistral-7B-v0.1
