preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
A pillow is a type of,furniture.,pillow,none,furniture,46,"[-12.225495338439941, -12.259404182434082, -12.72355842590332, -11.34809398651123, -11.797660827636719, -10.829922676086426, -12.089908599853516, -11.018794059753418, -10.290680885314941, -11.819433212280273, -11.155830383300781, -10.235788345336914, -12.735279083251953, -12.18273639678955, -12.376285552978516, -11.5113525390625, -12.753805160522461, -12.121536254882812, -11.56281566619873, -11.63438606262207, -12.660923957824707, -12.376622200012207, -11.931949615478516, -12.008986473083496, -12.62989330291748, -12.372149467468262, -11.989432334899902, -12.37640380859375, -11.268104553222656, -12.694318771362305, -12.102255821228027, -12.775359153747559, -12.543333053588867, -11.906075477600098, -13.262158393859863, -13.061553955078125, -12.346487998962402, -12.073158264160156, -12.139720916748047, -11.933915138244629, -10.115351676940918, -11.903390884399414, -13.011133193969727, -11.777420043945312, -11.74692153930664, -12.360179901123047, -13.405927658081055, -12.789202690124512, -13.094525337219238, -11.216137886047363]",7241732096,mistralai_Mistral-7B-v0.1
A wastebasket is a type of,furniture.,wastebasket,none,furniture,47,"[-7.071409225463867, -7.103931427001953, -7.716235160827637, -8.450397491455078, -7.243965148925781, -7.4208221435546875, -6.444099426269531, -7.213332176208496, -7.284296035766602, -10.188060760498047, -6.25615119934082, -7.442580223083496, -6.946319580078125, -7.123150825500488, -8.733454704284668, -6.432521820068359, -7.091312408447266, -8.16268539428711, -9.567758560180664, -7.630396842956543, -7.696413993835449, -6.638184547424316, -7.128137588500977, -6.750598907470703, -7.782515525817871, -8.176043510437012, -7.737798690795898, -8.121782302856445, -9.880155563354492, -7.358359336853027, -6.317288398742676, -7.273791313171387, -7.542478561401367, -7.457208633422852, -9.658941268920898, -7.533895492553711, -7.002178192138672, -10.205950736999512, -7.384967803955078, -7.254283905029297, -6.818571090698242, -7.168020248413086, -6.886439323425293, -7.004244804382324, -7.375857353210449, -7.58583927154541, -6.942750930786133, -6.684619903564453, -7.144796371459961, -6.140649795532227]",7241732096,mistralai_Mistral-7B-v0.1
A radio is a type of,furniture.,radio,none,furniture,48,"[-13.81375503540039, -14.395466804504395, -13.394351959228516, -14.81755542755127, -14.085918426513672, -13.734455108642578, -13.962285041809082, -12.990952491760254, -13.296643257141113, -13.785540580749512, -12.855232238769531, -13.553199768066406, -14.003153800964355, -13.057334899902344, -13.655145645141602, -13.141430854797363, -13.955641746520996, -12.975362777709961, -13.384160995483398, -13.245960235595703, -12.92016315460205, -10.620731353759766, -13.239571571350098, -13.691520690917969, -13.299920082092285, -12.903057098388672, -13.21954345703125, -14.300954818725586, -13.986166000366211, -13.117637634277344, -12.57807445526123, -13.677824020385742, -13.972379684448242, -14.704787254333496, -13.640969276428223, -14.47104549407959, -13.165704727172852, -13.54699420928955, -12.891502380371094, -13.673882484436035, -13.81660270690918, -14.23197078704834, -13.759661674499512, -13.801468849182129, -13.130439758300781, -13.497762680053711, -13.42558479309082, -13.719513893127441, -13.61717700958252, -13.320534706115723]",7241732096,mistralai_Mistral-7B-v0.1
A sewing machine is a type of,furniture.,sewing machine,none,furniture,49,"[-9.459386825561523, -9.126144409179688, -9.125723838806152, -8.789831161499023, -9.338691711425781, -8.751258850097656, -9.623834609985352, -8.814300537109375, -9.0023775100708, -8.940805435180664, -8.573781967163086, -8.689945220947266, -9.019271850585938, -7.808684349060059, -8.11358642578125, -9.074747085571289, -9.090081214904785, -9.755196571350098, -10.490760803222656, -8.415843963623047, -8.66090202331543, -7.864500999450684, -8.200956344604492, -7.671725273132324, -9.846961975097656, -9.051365852355957, -8.735628128051758, -10.855770111083984, -9.148670196533203, -7.732307434082031, -9.375055313110352, -9.689376831054688, -8.637138366699219, -10.65542984008789, -8.651633262634277, -8.830405235290527, -9.671512603759766, -9.289003372192383, -9.194748878479004, -8.318248748779297, -8.437289237976074, -7.553020477294922, -9.193206787109375, -9.06473159790039, -8.261220932006836, -8.33832836151123, -8.575026512145996, -8.388040542602539, -7.7389068603515625, -8.699438095092773]",7241732096,mistralai_Mistral-7B-v0.1
A stove is a type of,furniture.,stove,none,furniture,50,"[-12.493898391723633, -13.441704750061035, -12.214938163757324, -12.823493003845215, -9.443689346313477, -12.338347434997559, -12.603538513183594, -12.450760841369629, -12.435016632080078, -12.815007209777832, -13.586846351623535, -12.416980743408203, -13.207738876342773, -10.689977645874023, -12.481548309326172, -12.490739822387695, -13.374555587768555, -10.044158935546875, -13.090296745300293, -13.474966049194336, -9.57254409790039, -14.085161209106445, -12.648283004760742, -11.656110763549805, -13.39766788482666, -12.722984313964844, -12.18468189239502, -13.051704406738281, -11.949143409729004, -12.760518074035645, -12.036348342895508, -12.36605453491211, -10.076667785644531, -11.992287635803223, -10.177263259887695, -13.323127746582031, -13.366943359375, -10.433178901672363, -13.290412902832031, -13.084710121154785, -11.99312686920166, -13.034306526184082, -13.515501022338867, -13.112305641174316, -13.868719100952148, -13.709059715270996, -12.077241897583008, -12.780855178833008, -12.611019134521484, -12.681760787963867]",7241732096,mistralai_Mistral-7B-v0.1
A counter is a type of,furniture.,counter,none,furniture,51,"[-12.790523529052734, -12.388431549072266, -12.975491523742676, -11.661327362060547, -12.947747230529785, -12.714591979980469, -12.332998275756836, -12.847894668579102, -12.06080150604248, -13.173914909362793, -12.031111717224121, -12.152814865112305, -12.775372505187988, -12.282389640808105, -12.641632080078125, -12.456052780151367, -12.816648483276367, -12.824175834655762, -12.268797874450684, -13.740778923034668, -13.223340034484863, -12.683889389038086, -12.824607849121094, -12.340911865234375, -12.820474624633789, -12.922530174255371, -11.933358192443848, -14.246158599853516, -10.777719497680664, -11.892629623413086, -12.85706615447998, -12.678447723388672, -11.8820161819458, -13.574989318847656, -12.299056053161621, -12.045809745788574, -12.015103340148926, -12.04570198059082, -13.12147331237793, -11.859221458435059, -12.49325942993164, -12.542109489440918, -12.55670166015625, -12.534530639648438, -12.923827171325684, -12.266244888305664, -12.332615852355957, -12.772963523864746, -12.703110694885254, -12.52292537689209]",7241732096,mistralai_Mistral-7B-v0.1
A clock is a type of,furniture.,clock,none,furniture,52,"[-14.269627571105957, -14.476479530334473, -14.893180847167969, -14.243871688842773, -14.105408668518066, -14.580438613891602, -15.456830024719238, -14.125011444091797, -14.08657455444336, -14.316746711730957, -14.336614608764648, -15.285872459411621, -14.56065559387207, -10.308149337768555, -13.852012634277344, -13.985269546508789, -14.763608932495117, -14.264307022094727, -14.207354545593262, -14.6281156539917, -14.893142700195312, -12.80356216430664, -14.280019760131836, -14.234169006347656, -13.408824920654297, -13.88090991973877, -13.974020957946777, -13.617530822753906, -14.392416000366211, -15.594884872436523, -13.180424690246582, -14.377860069274902, -15.217838287353516, -10.276215553283691, -14.436208724975586, -14.60872745513916, -13.59492015838623, -14.005170822143555, -11.758056640625, -9.95943832397461, -14.520084381103516, -14.314583778381348, -14.219123840332031, -14.022603034973145, -13.752981185913086, -14.598644256591797, -14.671724319458008, -14.052072525024414, -14.6929931640625, -13.431539535522461]",7241732096,mistralai_Mistral-7B-v0.1
A drape is a type of,furniture.,drape,none,furniture,53,"[-8.783313751220703, -9.035661697387695, -8.66695785522461, -10.292497634887695, -9.988607406616211, -11.082781791687012, -8.891133308410645, -11.48464584350586, -9.087030410766602, -8.948497772216797, -8.812031745910645, -8.943693161010742, -9.862787246704102, -10.051920890808105, -9.182988166809082, -9.115646362304688, -9.346343994140625, -10.2318115234375, -10.100069046020508, -9.976466178894043, -9.577881813049316, -9.380409240722656, -9.281791687011719, -8.516627311706543, -8.731269836425781, -9.38647747039795, -9.916650772094727, -9.719554901123047, -9.185233116149902, -9.140371322631836, -9.959272384643555, -9.192535400390625, -8.650324821472168, -9.206021308898926, -9.814958572387695, -9.736674308776855, -9.968000411987305, -9.65536880493164, -9.045354843139648, -10.246482849121094, -10.392058372497559, -9.927194595336914, -9.106220245361328, -9.03487777709961, -10.31710433959961, -8.851317405700684, -10.382800102233887, -10.133729934692383, -9.553169250488281, -9.497394561767578]",7241732096,mistralai_Mistral-7B-v0.1
A refrigerator is a type of,furniture.,refrigerator,none,furniture,54,"[-14.028756141662598, -12.06085205078125, -13.583513259887695, -12.413724899291992, -14.198318481445312, -12.544229507446289, -9.778463363647461, -13.521446228027344, -13.881146430969238, -13.956300735473633, -12.08990478515625, -12.34586238861084, -13.023210525512695, -13.501982688903809, -12.192049980163574, -13.295988082885742, -11.591135025024414, -13.434091567993164, -12.537639617919922, -12.21965217590332, -13.213540077209473, -11.914461135864258, -12.005922317504883, -11.671920776367188, -14.002248764038086, -12.403875350952148, -13.127317428588867, -13.211507797241211, -13.163597106933594, -10.619068145751953, -12.856029510498047, -13.601213455200195, -14.396689414978027, -12.954835891723633, -13.14020824432373, -12.928251266479492, -13.43453598022461, -13.05128288269043, -12.069833755493164, -14.540462493896484, -13.20468521118164, -13.961283683776855, -13.74359130859375, -13.694977760314941, -15.161994934082031, -13.544082641601562, -12.11416244506836, -13.819807052612305, -12.692737579345703, -12.392451286315918]",7241732096,mistralai_Mistral-7B-v0.1
A picture is a type of,furniture.,picture,none,furniture,55,"[-13.226251602172852, -12.632231712341309, -12.94346809387207, -14.437877655029297, -13.385568618774414, -12.986845016479492, -12.653617858886719, -13.788206100463867, -13.622490882873535, -14.11337661743164, -14.912995338439941, -12.305578231811523, -14.059372901916504, -13.862298011779785, -13.391733169555664, -13.626228332519531, -13.795546531677246, -12.239483833312988, -13.916523933410645, -14.142104148864746, -13.065206527709961, -13.53151798248291, -12.790005683898926, -13.056211471557617, -14.3876953125, -13.762971878051758, -13.45173454284668, -14.037898063659668, -13.903608322143555, -13.986011505126953, -10.27538776397705, -9.86916732788086, -12.433979988098145, -13.578437805175781, -13.904006004333496, -14.140617370605469, -14.437845230102539, -14.27143669128418, -13.752450942993164, -9.963714599609375, -10.498039245605469, -12.881782531738281, -10.115198135375977, -13.061795234680176, -12.91145133972168, -13.457100868225098, -14.655558586120605, -13.81867504119873, -14.399942398071289, -13.986897468566895]",7241732096,mistralai_Mistral-7B-v0.1
A closet is a type of,furniture.,closet,none,furniture,56,"[-10.706673622131348, -9.804448127746582, -10.306034088134766, -10.52180290222168, -9.852466583251953, -9.98534107208252, -10.197010040283203, -10.234551429748535, -10.528128623962402, -9.653680801391602, -10.245288848876953, -10.503746032714844, -10.065256118774414, -9.992053031921387, -10.145430564880371, -9.588947296142578, -10.075827598571777, -10.408866882324219, -9.093549728393555, -10.241267204284668, -10.284223556518555, -10.02981185913086, -9.412851333618164, -10.215926170349121, -10.474019050598145, -10.024420738220215, -9.798761367797852, -9.217673301696777, -10.03866958618164, -9.67815113067627, -10.12271499633789, -10.271831512451172, -10.032427787780762, -9.702566146850586, -10.335741996765137, -10.496910095214844, -9.949295043945312, -10.116177558898926, -9.770745277404785, -9.226880073547363, -10.118024826049805, -10.378028869628906, -11.24797534942627, -10.434381484985352, -9.865039825439453, -9.988321304321289, -9.02279281616211, -10.736663818359375, -9.830306053161621, -10.272770881652832]",7241732096,mistralai_Mistral-7B-v0.1
A vase is a type of,furniture.,vase,none,furniture,57,"[-10.291354179382324, -11.009912490844727, -11.81965160369873, -10.780738830566406, -11.60019302368164, -10.730890274047852, -9.549833297729492, -9.641423225402832, -9.908010482788086, -11.892822265625, -9.696146965026855, -11.66781997680664, -10.910398483276367, -10.605624198913574, -11.658499717712402, -12.270333290100098, -11.41999626159668, -9.823020935058594, -9.983404159545898, -10.180251121520996, -11.649774551391602, -12.366997718811035, -11.086359977722168, -10.350909233093262, -10.522343635559082, -11.525986671447754, -11.025127410888672, -11.141650199890137, -11.806520462036133, -10.52055835723877, -11.363428115844727, -10.064543724060059, -10.423608779907227, -11.837668418884277, -11.073471069335938, -11.330082893371582, -10.813337326049805, -10.674413681030273, -11.502214431762695, -10.716653823852539, -11.237926483154297, -11.070198059082031, -11.156816482543945, -11.335633277893066, -10.249350547790527, -10.301249504089355, -10.401732444763184, -11.59505558013916, -10.726699829101562, -10.98775863647461]",7241732096,mistralai_Mistral-7B-v0.1
An ashtray is a type of,furniture.,ashtray,none,furniture,58,"[-7.842678070068359, -7.030350685119629, -6.173408508300781, -7.519292831420898, -7.626090049743652, -6.374873161315918, -7.20625114440918, -7.023775100708008, -8.146242141723633, -7.436837196350098, -10.241429328918457, -7.770345687866211, -6.824403762817383, -7.5706682205200195, -6.79634952545166, -8.467140197753906, -7.347217559814453, -9.28271198272705, -6.35707950592041, -7.437631607055664, -6.630016326904297, -7.267209053039551, -7.267234802246094, -8.003654479980469, -6.767875671386719, -7.0490570068359375, -9.755590438842773, -6.486537933349609, -6.752992630004883, -7.9857282638549805, -6.119071960449219, -6.896856307983398, -6.627472877502441, -9.52124309539795, -5.604087829589844, -7.604682922363281, -6.73646354675293, -7.915370941162109, -6.974565505981445, -7.4288482666015625, -7.579408645629883, -7.906093597412109, -9.099968910217285, -8.844278335571289, -7.583539962768555, -7.601228713989258, -7.159904479980469, -7.524713516235352, -7.246711730957031, -6.892351150512695]",7241732096,mistralai_Mistral-7B-v0.1
A fan is a type of,furniture.,fan,none,furniture,59,"[-15.241369247436523, -10.975448608398438, -14.802160263061523, -13.260208129882812, -14.670103073120117, -14.67190170288086, -14.437867164611816, -13.213844299316406, -14.936254501342773, -14.282292366027832, -13.218558311462402, -13.36054515838623, -10.817560195922852, -13.437171936035156, -14.50607967376709, -14.580599784851074, -13.579978942871094, -14.616419792175293, -14.751052856445312, -13.73255729675293, -15.959062576293945, -12.963275909423828, -12.994287490844727, -15.042623519897461, -15.087299346923828, -13.7738676071167, -15.249405860900879, -15.67247200012207, -15.603328704833984, -15.450603485107422, -14.848859786987305, -13.719820022583008, -10.589811325073242, -14.383194923400879, -14.483519554138184, -14.161938667297363, -13.643699645996094, -14.391918182373047, -13.72262191772461, -14.230177879333496, -15.204519271850586, -13.884929656982422, -13.923247337341309, -14.623917579650879, -14.072015762329102, -14.903459548950195, -14.47757339477539, -13.07888126373291, -10.62226676940918, -14.208524703979492]",7241732096,mistralai_Mistral-7B-v0.1
A telephone is a type of,furniture.,telephone,none,furniture,60,"[-12.682687759399414, -11.874174118041992, -13.534821510314941, -12.026891708374023, -12.059062957763672, -12.442676544189453, -13.692803382873535, -12.446281433105469, -12.866147994995117, -12.748334884643555, -12.077370643615723, -11.699501037597656, -13.286602020263672, -10.322076797485352, -12.352739334106445, -13.270973205566406, -12.787516593933105, -13.215658187866211, -12.841848373413086, -12.757461547851562, -12.770038604736328, -13.346826553344727, -13.062955856323242, -13.155068397521973, -12.519436836242676, -12.537811279296875, -9.621965408325195, -12.872647285461426, -13.087535858154297, -12.094612121582031, -12.496548652648926, -13.213923454284668, -11.912510871887207, -12.434063911437988, -11.964349746704102, -11.840861320495605, -12.814785957336426, -13.688941955566406, -13.18238639831543, -11.671252250671387, -12.15221881866455, -11.948211669921875, -12.438139915466309, -11.528754234313965, -13.82668399810791, -13.56637191772461, -11.607020378112793, -13.294508934020996, -13.422941207885742, -13.032018661499023]",7241732096,mistralai_Mistral-7B-v0.1
A gun is a,weapon.,gun,none,weapon,1,"[-9.39400577545166, -10.44172477722168, -10.248297691345215, -9.53066635131836, -10.934260368347168, -10.322067260742188, -10.133285522460938, -10.851067543029785, -9.90776252746582, -12.008541107177734, -9.084871292114258, -9.650825500488281, -10.338138580322266, -10.861021041870117, -10.002877235412598, -9.368951797485352, -9.370562553405762, -9.71414566040039, -11.665305137634277, -10.351731300354004, -8.962468147277832, -10.264267921447754, -10.367300033569336, -11.55306625366211, -9.808393478393555, -12.342443466186523, -9.080145835876465, -10.905094146728516, -9.232332229614258, -8.19361686706543, -10.791202545166016, -11.115283966064453, -10.744720458984375, -9.951911926269531, -12.140493392944336, -9.380970001220703, -9.983652114868164, -10.347403526306152, -10.794235229492188, -9.04055404663086, -12.020007133483887, -11.386661529541016, -10.729926109313965, -10.535669326782227, -10.377750396728516, -9.363429069519043, -9.063331604003906, -8.181522369384766, -10.519956588745117, -10.185641288757324]",7241732096,mistralai_Mistral-7B-v0.1
A pistol is a,weapon.,pistol,none,weapon,2,"[-9.788873672485352, -9.153741836547852, -9.448013305664062, -10.08784294128418, -8.179816246032715, -11.271413803100586, -10.665374755859375, -9.88848876953125, -9.212932586669922, -9.600967407226562, -11.012812614440918, -10.9876070022583, -9.287242889404297, -9.67477035522461, -9.874996185302734, -9.198455810546875, -7.716119766235352, -11.813064575195312, -10.329843521118164, -9.158496856689453, -9.295629501342773, -9.256617546081543, -9.833274841308594, -12.13905143737793, -10.032635688781738, -11.108811378479004, -9.39354419708252, -9.062454223632812, -11.245914459228516, -10.072541236877441, -10.393102645874023, -11.7772798538208, -11.74002456665039, -9.81896686553955, -9.054546356201172, -10.47612190246582, -10.385551452636719, -9.199418067932129, -10.899459838867188, -11.738374710083008, -10.554254531860352, -9.799671173095703, -10.253998756408691, -11.32487964630127, -8.253068923950195, -10.441020965576172, -9.16682243347168, -9.19387435913086, -10.110391616821289, -9.962409019470215]",7241732096,mistralai_Mistral-7B-v0.1
A revolver is a,weapon.,revolver,none,weapon,3,"[-16.183422088623047, -13.681705474853516, -16.2996826171875, -16.206398010253906, -16.443082809448242, -15.664785385131836, -15.576284408569336, -14.030643463134766, -15.525799751281738, -15.127283096313477, -16.913270950317383, -16.03023338317871, -15.809765815734863, -16.455577850341797, -16.332576751708984, -13.180709838867188, -11.857233047485352, -15.530757904052734, -15.102673530578613, -16.835121154785156, -14.922877311706543, -15.3582181930542, -16.464221954345703, -16.094440460205078, -16.4542236328125, -16.84963035583496, -16.584693908691406, -14.713459968566895, -16.054655075073242, -15.153138160705566, -11.538568496704102, -16.144065856933594, -15.667348861694336, -16.806177139282227, -14.831819534301758, -15.640568733215332, -15.944025993347168, -15.557809829711914, -16.113780975341797, -15.536649703979492, -15.278413772583008, -12.245911598205566, -16.464262008666992, -15.353839874267578, -15.784947395324707, -14.487970352172852, -16.244789123535156, -16.059919357299805, -16.38751220703125, -16.07566261291504]",7241732096,mistralai_Mistral-7B-v0.1
A machine gun is a,weapon.,machine gun,none,weapon,4,"[-16.304317474365234, -14.875456809997559, -14.90640640258789, -15.800933837890625, -14.832491874694824, -15.56440544128418, -14.096199035644531, -16.848491668701172, -15.967799186706543, -14.981179237365723, -12.360969543457031, -11.281026840209961, -15.781158447265625, -14.634475708007812, -16.266578674316406, -16.199138641357422, -16.59766387939453, -16.340805053710938, -16.58428955078125, -16.18807601928711, -11.832344055175781, -15.791346549987793, -14.31873893737793, -13.302421569824219, -16.171680450439453, -11.135108947753906, -16.19492530822754, -16.045825958251953, -12.551371574401855, -16.22469139099121, -15.376107215881348, -16.65439796447754, -14.243265151977539, -15.818918228149414, -15.14783763885498, -16.79926300048828, -16.64246368408203, -12.829902648925781, -16.04956817626953, -16.570384979248047, -16.236299514770508, -15.977229118347168, -16.28616714477539, -14.655303955078125, -16.1942195892334, -16.619178771972656, -11.800662994384766, -11.487494468688965, -15.886503219604492, -15.860174179077148]",7241732096,mistralai_Mistral-7B-v0.1
A rifle is a,weapon.,rifle,none,weapon,5,"[-11.136049270629883, -12.559555053710938, -10.582685470581055, -9.841882705688477, -9.567159652709961, -11.376795768737793, -7.452683448791504, -9.815901756286621, -11.095377922058105, -7.592560768127441, -9.92227554321289, -9.884695053100586, -10.23963737487793, -11.393587112426758, -9.85063362121582, -9.630016326904297, -9.87551498413086, -8.991817474365234, -10.27403450012207, -11.669713020324707, -11.701850891113281, -11.17618179321289, -10.323484420776367, -10.435563087463379, -10.284110069274902, -10.14218521118164, -9.221624374389648, -8.955771446228027, -8.899127960205078, -11.324811935424805, -9.781309127807617, -11.248870849609375, -7.650128364562988, -11.070473670959473, -9.994970321655273, -11.244060516357422, -11.04000473022461, -10.594966888427734, -12.050745010375977, -11.654657363891602, -12.066498756408691, -8.449048042297363, -12.342693328857422, -12.561145782470703, -11.932833671569824, -11.325292587280273, -9.7826566696167, -10.184258460998535, -9.826544761657715, -11.657083511352539]",7241732096,mistralai_Mistral-7B-v0.1
A switchblade is a,weapon.,switchblade,none,weapon,6,"[-11.627592086791992, -11.949556350708008, -12.118110656738281, -11.353982925415039, -11.033607482910156, -12.132794380187988, -12.188053131103516, -12.033382415771484, -11.530909538269043, -10.591772079467773, -10.616109848022461, -12.000310897827148, -11.460233688354492, -10.551898956298828, -11.513507843017578, -11.010513305664062, -10.890564918518066, -11.56756591796875, -11.85657787322998, -11.743637084960938, -11.984673500061035, -13.212494850158691, -11.828310012817383, -11.991018295288086, -11.597289085388184, -10.885958671569824, -9.727333068847656, -11.764649391174316, -11.550824165344238, -10.716838836669922, -11.35549545288086, -11.362761497497559, -10.766854286193848, -12.210352897644043, -11.445539474487305, -12.037275314331055, -11.523776054382324, -11.632285118103027, -11.181920051574707, -11.148473739624023, -12.00124740600586, -10.515893936157227, -11.756002426147461, -9.852489471435547, -11.724319458007812, -11.850985527038574, -12.769974708557129, -11.201154708862305, -10.46312141418457, -12.726073265075684]",7241732096,mistralai_Mistral-7B-v0.1
A knife is a,weapon.,knife,none,weapon,7,"[-9.234561920166016, -11.085047721862793, -10.275339126586914, -10.659071922302246, -10.14857006072998, -9.834840774536133, -11.484219551086426, -10.938362121582031, -9.648256301879883, -11.282949447631836, -9.950027465820312, -11.133708953857422, -11.23666763305664, -10.249238967895508, -10.270809173583984, -10.129944801330566, -9.818367004394531, -9.550825119018555, -8.508634567260742, -12.24046516418457, -10.076364517211914, -10.502324104309082, -12.228445053100586, -11.229642868041992, -10.199734687805176, -11.909139633178711, -12.427969932556152, -10.774507522583008, -10.494457244873047, -9.154129028320312, -9.874703407287598, -11.523597717285156, -11.553766250610352, -9.698105812072754, -10.694706916809082, -9.4442138671875, -11.010833740234375, -10.408089637756348, -9.945920944213867, -13.615914344787598, -11.27696704864502, -10.061939239501953, -10.31533145904541, -11.146821022033691, -9.735915184020996, -10.021909713745117, -10.570638656616211, -9.294374465942383, -10.276045799255371, -9.85951042175293]",7241732096,mistralai_Mistral-7B-v0.1
A dagger is a,weapon.,dagger,none,weapon,8,"[-12.739173889160156, -16.000701904296875, -14.463055610656738, -11.45646858215332, -16.402671813964844, -15.512974739074707, -16.368144989013672, -16.447372436523438, -16.430774688720703, -16.056636810302734, -16.41724967956543, -16.188426971435547, -16.325347900390625, -15.707378387451172, -15.762384414672852, -16.13152313232422, -16.45926284790039, -16.315589904785156, -17.19645118713379, -15.004680633544922, -15.680259704589844, -16.819080352783203, -16.474143981933594, -15.941802024841309, -16.574146270751953, -14.94200325012207, -16.51368522644043, -15.85213565826416, -15.883334159851074, -16.016382217407227, -16.38296890258789, -16.505128860473633, -16.086692810058594, -16.086416244506836, -16.500225067138672, -12.077616691589355, -16.21944808959961, -15.463211059570312, -14.8859281539917, -15.328969955444336, -16.267963409423828, -13.960506439208984, -15.871588706970215, -16.036602020263672, -16.679882049560547, -14.386343002319336, -11.9853515625, -11.567314147949219, -15.72131061553955, -16.089038848876953]",7241732096,mistralai_Mistral-7B-v0.1
A shotgun is a,weapon.,shotgun,none,weapon,9,"[-14.925734519958496, -15.695241928100586, -16.014333724975586, -16.35660171508789, -14.139190673828125, -16.726041793823242, -16.372920989990234, -16.42402458190918, -16.19815444946289, -15.789912223815918, -15.491785049438477, -16.136856079101562, -15.586211204528809, -12.439056396484375, -16.35903549194336, -16.374374389648438, -15.979731559753418, -15.187779426574707, -16.488323211669922, -16.223220825195312, -16.63088607788086, -17.12381935119629, -16.03790855407715, -16.623565673828125, -15.943426132202148, -15.16971492767334, -15.933409690856934, -16.135828018188477, -16.827861785888672, -16.6783447265625, -15.620489120483398, -16.04039764404297, -16.092060089111328, -16.396991729736328, -12.022530555725098, -14.906094551086426, -15.808296203613281, -15.206791877746582, -14.831860542297363, -14.898038864135742, -15.882306098937988, -15.86706256866455, -16.32009506225586, -12.48893928527832, -16.479084014892578, -16.724193572998047, -15.896319389343262, -16.129985809326172, -16.43498420715332, -16.226383209228516]",7241732096,mistralai_Mistral-7B-v0.1
A sword is a,weapon.,sword,none,weapon,10,"[-11.510307312011719, -10.043521881103516, -10.179994583129883, -11.039850234985352, -14.389541625976562, -11.556146621704102, -9.824080467224121, -9.535571098327637, -10.210222244262695, -10.508403778076172, -10.092096328735352, -10.865478515625, -10.489535331726074, -10.825721740722656, -10.141546249389648, -10.039785385131836, -10.21511459350586, -9.069581985473633, -12.344654083251953, -10.473877906799316, -9.887811660766602, -9.904658317565918, -10.607195854187012, -10.201288223266602, -11.881251335144043, -9.224651336669922, -7.41474723815918, -9.127660751342773, -9.637901306152344, -9.647911071777344, -11.373973846435547, -9.984601974487305, -10.947625160217285, -10.787315368652344, -11.13341236114502, -11.337782859802246, -11.975549697875977, -10.42127799987793, -11.387930870056152, -10.600936889648438, -10.214594841003418, -10.477892875671387, -11.179387092590332, -10.862327575683594, -10.729429244995117, -11.773238182067871, -9.909428596496582, -11.057107925415039, -11.320281982421875, -9.481464385986328]",7241732096,mistralai_Mistral-7B-v0.1
A bomb is a,weapon.,bomb,none,weapon,11,"[-11.124722480773926, -11.333293914794922, -12.362826347351074, -9.863758087158203, -12.39765453338623, -8.950758934020996, -12.46795654296875, -10.561768531799316, -12.471481323242188, -10.62460994720459, -11.132741928100586, -12.259472846984863, -11.40951919555664, -10.221111297607422, -11.327803611755371, -11.261356353759766, -10.893302917480469, -11.692021369934082, -11.86863899230957, -9.459821701049805, -9.81389045715332, -11.546485900878906, -10.51301383972168, -11.61642074584961, -8.749153137207031, -10.179622650146484, -10.92518424987793, -11.581769943237305, -11.854129791259766, -11.734908103942871, -10.942781448364258, -9.286943435668945, -10.426173210144043, -9.460601806640625, -9.20329475402832, -9.778363227844238, -11.124101638793945, -11.997086524963379, -11.866788864135742, -11.929805755615234, -12.373074531555176, -9.459383010864258, -10.4360933303833, -10.820871353149414, -11.492866516113281, -9.671701431274414, -10.15408706665039, -10.027986526489258, -9.566118240356445, -9.628557205200195]",7241732096,mistralai_Mistral-7B-v0.1
A hand grenade is a,weapon.,hand grenade,none,weapon,12,"[-10.445422172546387, -10.23370361328125, -9.467612266540527, -9.623276710510254, -9.602059364318848, -9.669594764709473, -9.803613662719727, -9.95849895477295, -9.998796463012695, -9.24357795715332, -9.750261306762695, -9.847633361816406, -9.70111083984375, -9.617691040039062, -10.329484939575195, -9.99230670928955, -8.998363494873047, -9.265089988708496, -9.950763702392578, -12.427743911743164, -10.198569297790527, -10.233037948608398, -10.243736267089844, -8.983731269836426, -9.899654388427734, -9.379595756530762, -10.254661560058594, -10.250865936279297, -10.169525146484375, -9.98498249053955, -9.90167236328125, -9.466300964355469, -9.447790145874023, -9.80886173248291, -9.60712718963623, -9.324277877807617, -10.131604194641113, -8.947900772094727, -9.737133026123047, -9.720852851867676, -10.664112091064453, -10.710429191589355, -10.521759033203125, -9.828251838684082, -9.588668823242188, -10.304798126220703, -10.459592819213867, -9.111268997192383, -9.794989585876465, -9.158552169799805]",7241732096,mistralai_Mistral-7B-v0.1
